product_id,product_name,is_wine,primary_category,wine_type,vintage_year,series,price_jpy_tax_included,currency,price_note,stock_status,exact_stock,country,region,winery,grape_varieties,blend_ratio,sweetness,acidity,tannin,body,oak_aging,sparkling_method,recommended_serving_temp_c,flavor_tags,food_pairing,occasion_tags,beginner_friendly,ai_recommendation_notes,product_description,source_url,data_quality_note,legal_note,collected_at
93880340,2023 Twin Peaks Marselan Premium,yes,red wine,red,2023,Twin Peaks Marselan Premium,5390,JPY,tax included,sold out,0 or unavailable online,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Marselan (Grenache × Cabernet Sauvignon),,unknown,unknown,medium,medium to full,aged in French oak barrels,,,blackberry; cassis; black fruit; pleasant tannins; French oak,roast beef; lasagna; roast duck,premium; meat pairing; sold out; distinctive grape variety,medium,"Sold out, so it should not be the first recommendation for current purchase. Use it only as a taste reference; the 2024 Marselan Premium is a likely alternative.",Marselan. Aromas of black fruit such as blackberry and cassis. A French-oak-aged red wine with attractive pleasant tannins.,https://twinpeaks.buyshop.jp/items/93880340,Listed as sold out on the product page.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
93880821,2023 TWIN PEAKS ROUGE,yes,red wine,red,2023,TWIN PEAKS ROUGE,5390,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Marselan; Tannat; Merlot,,unknown,unknown,soft to medium,medium to full,unknown,,,soft mouthfeel; black cherry; cassis; premium,bolognese; beef stroganoff; simmered chicken liver with ginger soy,premium; meat pairing; Western food; rich sauce,medium,"For users who want a premium red with black cherry, cassis, and a soft mouthfeel. Suitable for bolognese, beef dishes, chicken liver, and other rich foods.","A red wine made only from Western grape varieties. Mainly Marselan, with Tannat and Merlot. Soft mouthfeel with black cherry and cassis notes.",https://twinpeaks.buyshop.jp/items/93880821,Blend percentages are explicitly listed.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
96313471,2023 Sparkling Muscat Bailey A,yes,sparkling wine,sparkling rosé,2023,SPARKLING Muscat Bailey A,3750,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Muscat Bailey A,,dry,medium-high,low,light,,unknown,,strawberry; charming; refreshing acidity; clean finish; bubbles,roast chicken; seri hot pot; shortcake; fruit tart,celebration; dessert pairing; party; beginner friendly,yes,"Good for parties, celebrations, and wine beginners. It has a clear strawberry aroma; although dry, it can also pair with desserts.",A dry rosé sparkling wine with charming strawberry-like aromas. Refreshing acidity and a clean finish.,https://twinpeaks.buyshop.jp/items/96313471,Sparkling method is not stated.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
77512311,2022 TSUKUBA BLANC Premium,yes,white wine,white,2022,TSUKUBA BLANC Premium,4290,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Hokuten no Shizuku (Riesling × Yamabudo); Chardonnay,,dry,medium-high,none,medium to full,,,,citrus; mellow acidity; minerality; gentle richness; umami; depth,,premium; rich white wine; dinner,yes,"Richer than a standard white wine. Dry, with mellow acidity and umami, suitable for users looking for a textured white wine.","A blend based on Hokuten no Shizuku with Chardonnay. Citrus, mellow acidity, minerality, and gentle richness. Elegant acidity, umami on the finish, and a full, rich dry style.",https://twinpeaks.buyshop.jp/items/77512311,No specific food pairing is provided on the product page.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
79301835,2022 TSUKUBA ROUGE Premium,yes,red wine,red,2022,TSUKUBA ROUGE Premium,4290,JPY,tax included,sold out,0 or unavailable online,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Fuji no Yume,,unknown,medium-high,medium and integrated,medium to full,unknown,,,blueberry; cassis jelly; mulberry; 100% cacao; concentration; fresh acidity; supple,steak; sweet-savory teriyaki chicken,premium; meat pairing; sold out; concentrated_red,medium,"Sold out, so it should not be the first recommendation for current purchase. Use it as a reference for concentrated red-wine style; the 2024 TSUKUBA ROUGE Premium is a likely alternative.","Fuji no Yume. Aromas of blueberry, cassis jelly, mulberry, and 100% cacao. Fresh acidity, concentration, and integrated tannins.",https://twinpeaks.buyshop.jp/items/79301835,Listed as sold out on the product page.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
76674270,2022 ROSE,yes,rosé wine,rosé,2022,ROSE,3190,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,unknown,,dry,medium,delicate and low,medium,,,,cranberry-red color; fresh; strawberry; fruity; pleasant bitterness; delicate tannins; lively,sardines simmered with ume; butterbur sprouts; tuna sashimi; nikujaga; caprese; bang bang chicken,versatile; Japanese food; Chinese food; Western food; beginner friendly,yes,"A versatile food wine that works with Japanese, Western, and Chinese dishes. Dry, lively, and fruit-forward, so it is easy to recommend when the menu is undecided.","Clear, vivid cranberry-red color. Dry, fresh, and not heavy. Medium body with strawberry-like fruit, pleasant bitterness, delicate tannins, and a lively character.",https://twinpeaks.buyshop.jp/items/76674270,Grape variety is not listed on the product page.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
127880723,2022 SPARKLING BLANC,yes,sparkling wine,sparkling white,2022,SPARKLING BLANC,5390,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,unknown,,unknown,medium-high,none,light to medium,,traditional method with secondary fermentation in bottle,7,refreshing acidity; fine bubbles; citrus; white flowers; authentic,aperitif; seafood; appetizers; fried oysters; herb-roasted chicken; shrimp gratin; salmon with lemon-dill marinade,celebration; aperitif; seafood; premium sparkling wine,yes,"Suitable for celebrations, aperitifs, seafood, and appetizers. Made with bottle secondary fermentation, with fine bubbles; best well chilled to around 7°C.","Traditional-method sparkling wine with secondary fermentation in bottle. Refreshing acidity and fine bubbles, with citrus and white-flower aromas. Recommended serving temperature is around 7°C.",https://twinpeaks.buyshop.jp/items/127880723,Grape variety and sweetness are not stated.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
75176440,2021 SPARKLING ROSE,yes,sparkling wine,sparkling rosé,2021,SPARKLING ROSE,5390,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Fuji no Yume,,dry,medium-high,low,light to medium,,secondary fermentation in bottle for about one year,,creamy bubbles; hibiscus color; strawberry; raspberry; apple peel; botanical; earthy; fruity,Rose pork steak; charcuterie; ratatouille,party; outdoor; celebration; pork pairing; aperitif,yes,"Good for parties and outdoor occasions. Attractive color and fine bubbles; dry but fruit-friendly, and suitable with pork, charcuterie, and vegetable stew.","Fine, creamy bubbles from one year of secondary fermentation in bottle. Made with Fuji no Yume. Strawberry, raspberry, apple peel, botanical, earthy, and fruity elements. Dry style.",https://twinpeaks.buyshop.jp/items/75176440,Cool-shipping note is present for May to October.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
81298044,2021 MUSCAT BAILEY A,yes,red wine,red,2021,MUSCAT BAILEY A,2860,JPY,tax included,in stock,unknown,Japan,"Hitachiota-grown grapes, Ibaraki; vinified in Tsukuba, Japan",Tsukuba Winery,Muscat Bailey A,,unknown,medium,low,light,,,,strawberry-like fruitiness; restrained astringency; clean finish,Japanese cuisine,beginner friendly; light red; Japanese food; value,yes,"One of the easiest choices for red-wine beginners and people who dislike astringency. Lower-priced, with strawberry-like fruit and low tannins, and safe with Japanese food.","Made with Muscat Bailey A from Hitachiota, Ibaraki. A 100% Made in Ibaraki red wine. Strawberry-like fruitiness, restrained astringency, and a clean taste.",https://twinpeaks.buyshop.jp/items/81298044,Sweetness is not stated; tannin is inferred from restrained astringency wording.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
11397024,Twin Peaks Red 2017,yes,red wine,red,2017,Twin Peaks Red,3190,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Fuji no Yume (Merlot × Gyoja no Mizu),,unknown,unknown,low,medium,,,,mountain-grape-derived fruitiness; concentrated flavor; gentle tannins; refreshing finish,,aged vintage; light tannins; red wine; contract-produced vintage,yes,"An older vintage with gentle tannins, suitable for people who want red wine but dislike astringency. The 2013-2017 vintages were contract-produced and should be distinguished from estate vinification from 2019 onward.","Single-varietal Fuji no Yume red wine. Concentrated fruit and flavor from mountain-grape heritage, gentle tannins, and a refreshing finish. The 2013-2017 vintages were contract-produced.",https://twinpeaks.buyshop.jp/items/11397024,No food pairing is provided; contract-production note is included.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
7682628,Twin Peaks Red 2016,yes,red wine,red,2016,Twin Peaks Red,3190,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Fuji no Yume (Merlot × Gyoja no Mizu),,unknown,unknown,low,medium,,,,mountain-grape-derived fruitiness; concentrated flavor; gentle tannins; refreshing finish,,aged vintage; light tannins; red wine; contract-produced vintage,yes,"An older vintage with gentle tannins, suitable for people who want red wine but dislike astringency. The 2013-2017 vintages were contract-produced and should be distinguished from estate vinification from 2019 onward.","Single-varietal Fuji no Yume red wine. Concentrated fruit and flavor from mountain-grape heritage, gentle tannins, and a refreshing finish. The 2013-2017 vintages were contract-produced.",https://twinpeaks.buyshop.jp/items/7682628,No food pairing is provided; contract-production note is included.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
2944167,Twin Peaks Red 2015,yes,red wine,red,2015,Twin Peaks Red,3960,JPY,tax included,in stock,unknown,Japan,"Tsukuba, Ibaraki, Japan",Tsukuba Winery,Fuji no Yume (Merlot × Gyoja no Mizu),,unknown,unknown,low,medium,,,,mountain-grape-derived fruitiness; concentrated flavor; gentle tannins; refreshing finish,,aged vintage; light tannins; red wine; contract-produced vintage,yes,"An older vintage with gentle tannins, suitable for people who want red wine but dislike astringency. The 2013-2017 vintages were contract-produced and should be distinguished from estate vinification from 2019 onward.","Single-varietal Fuji no Yume red wine. Concentrated fruit and flavor from mountain-grape heritage, gentle tannins, and a refreshing finish. The 2013-2017 vintages were contract-produced.",https://twinpeaks.buyshop.jp/items/2944167,No food pairing is provided; contract-production note is included.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
28746690,TSUKUBA WINERY Logo Tote Bag,no,goods,,,goods,1518,JPY,tax included,sold out,0 or unavailable online,Japan,,Tsukuba Winery,,,,,,,,,,,,goods; winery visit; add-on,,Non-wine merchandise and currently sold out. Do not use it as a main wine recommendation; keep it only as accessory information.,"Original Tsukuba Winery tote bag. It holds three full bottles of wine. Light gray, made from durable fabric, with a pocket for a phone and wallet.",https://twinpeaks.buyshop.jp/items/28746690,Non-wine goods; sold out.,Not for sale to persons under age 20. Drink responsibly.,2026-06-02
